iyear,num_killed,num_attacks
2000,1125,1001
2001,48617,15128
2002,1.25E+07,3.43E+06
2003,2.09E+07,5.46E+06
2004,2.39E+07,6.03E+06
2005,2.42E+07,6.20E+06
2006,2.67E+07,6.56E+06
2007,2.56E+07,6.27E+06
2008,2.63E+07,6.25E+06
2009,2.83E+07,7.26E+06
2010,2.77E+07,7.10E+06
2011,2.72E+07,6.85E+06
2012,2.73E+07,6.89E+06
2013,2.68E+07,7.06E+06
2014,2.66E+07,7.15E+06
2015,2.69E+07,7.23E+06
2016,2.64E+07,7.32E+06
2017,2.01E+07,5.88E+06
